epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,1005.05,0.69761,0.39164,0.90241,0.9968,0.95833,0.99056,0.73985,0.97157,0.44236,0.91932,0.0010958,0.0010958,0.0010958
139,1032.21,0.70205,0.39359,0.90839,1,0.99687,0.995,0.71684,1.02346,0.41086,0.95558,0.0010892,0.0010892,0.0010892
140,1059.53,0.69836,0.38975,0.90877,0.99723,0.95833,0.98324,0.74696,0.99317,0.41581,0.95647,0.0010826,0.0010826,0.0010826
141,1086.75,0.693,0.38939,0.90739,0.9565,0.95833,0.96727,0.72086,1.02339,0.49505,0.9469,0.001076,0.001076,0.001076
142,1113.96,0.6765,0.37626,0.90023,0.99704,0.95833,0.98597,0.70026,1.07009,0.44986,0.98169,0.0010694,0.0010694,0.0010694
143,1141.34,0.6973,0.38591,0.90754,0.997,0.95833,0.98026,0.70632,1.04306,0.47769,0.95206,0.0010628,0.0010628,0.0010628
144,1169,0.68144,0.38081,0.90742,0.99715,0.95833,0.967,0.71312,1.04397,0.52668,0.97277,0.0010562,0.0010562,0.0010562
145,1196.58,0.69036,0.38318,0.90308,0.99714,0.95833,0.96674,0.70892,1.02557,0.49189,0.99091,0.0010496,0.0010496,0.0010496
146,1224.35,0.69523,0.3867,0.90644,0.99789,0.95833,0.96289,0.69122,1.04017,0.48824,0.99898,0.001043,0.001043,0.001043
147,1251.79,0.67891,0.38432,0.9003,0.99725,0.95833,0.96542,0.70028,1.01863,0.4971,0.97459,0.0010364,0.0010364,0.0010364
148,1279.13,0.68441,0.37756,0.90163,0.99787,0.95833,0.96522,0.70752,0.99257,0.51233,0.95177,0.0010298,0.0010298,0.0010298
149,1307.56,0.68087,0.38015,0.90069,1,0.99703,0.995,0.73926,0.98541,0.42028,0.95088,0.0010232,0.0010232,0.0010232
150,1336.38,0.66798,0.37372,0.9003,0.99726,0.95833,0.99056,0.72876,0.9823,0.42363,0.94301,0.0010166,0.0010166,0.0010166
151,1366.24,0.6859,0.38398,0.90573,1,0.99803,0.995,0.74406,1.01107,0.37444,0.93913,0.00101,0.00101,0.00101
152,1394.62,0.67112,0.37407,0.89279,1,0.99715,0.995,0.72561,0.99702,0.40891,0.93436,0.0010034,0.0010034,0.0010034
153,1423.73,0.67206,0.37663,0.89776,0.99731,0.95833,0.99192,0.76341,0.95507,0.43264,0.92734,0.0009968,0.0009968,0.0009968
154,1450.44,0.67084,0.37423,0.90007,0.95985,0.99627,0.9934,0.76785,0.96637,0.37302,0.93397,0.0009902,0.0009902,0.0009902
155,1477.28,0.66991,0.37242,0.89648,0.99699,0.95833,0.96846,0.71172,1.01986,0.45801,0.94857,0.0009836,0.0009836,0.0009836
156,1503.98,0.66076,0.37195,0.90009,0.9971,0.95833,0.96522,0.70482,1.04123,0.49773,0.96808,0.000977,0.000977,0.000977
157,1530.87,0.66603,0.37223,0.90106,0.99717,0.95833,0.97733,0.70251,1.04683,0.48656,0.96546,0.0009704,0.0009704,0.0009704
158,1557.64,0.67668,0.3751,0.89836,0.99729,0.95833,0.96953,0.71927,1.0382,0.46301,0.96122,0.0009638,0.0009638,0.0009638
159,1584.46,0.66044,0.36733,0.89615,0.99718,0.95833,0.9881,0.74437,1.00724,0.45586,0.94841,0.0009572,0.0009572,0.0009572
160,1611.19,0.66595,0.36966,0.89977,1,0.99677,0.995,0.7399,1.0366,0.40177,0.99857,0.0009506,0.0009506,0.0009506
161,1638.11,0.65884,0.3628,0.89209,0.99683,0.95833,0.9934,0.73901,1.063,0.41007,1.00922,0.000944,0.000944,0.000944
162,1666.66,0.66267,0.36977,0.89915,0.99693,0.95833,0.99192,0.7453,1.04745,0.37979,0.98655,0.0009374,0.0009374,0.0009374
163,1693.44,0.6554,0.36731,0.89377,0.99935,0.95833,0.98409,0.72195,1.02255,0.45096,0.95982,0.0009308,0.0009308,0.0009308
164,1720.33,0.6547,0.36451,0.89283,1,0.99799,0.995,0.74738,1.04425,0.37081,0.95555,0.0009242,0.0009242,0.0009242
165,1747.15,0.65824,0.36675,0.89259,0.99552,0.95833,0.9934,0.73048,1.00585,0.39026,0.94027,0.0009176,0.0009176,0.0009176
166,1774,0.65015,0.36428,0.89335,1,0.99724,0.995,0.74262,1.04486,0.40841,0.95636,0.000911,0.000911,0.000911
167,1802.48,0.66006,0.36771,0.89267,1,0.99717,0.995,0.72922,1.03738,0.4107,0.96347,0.0009044,0.0009044,0.0009044
168,1829.37,0.65968,0.36571,0.89408,0.99706,0.95833,0.97841,0.73012,1.01114,0.45686,0.95379,0.0008978,0.0008978,0.0008978
