epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,6592.75,0.6554,0.33866,0.99757,0.96326,0.96463,0.98441,0.84593,0.63501,0.31289,0.98675,0.006502,0.006502,0.006502
108,6655.22,0.64585,0.33909,0.99629,0.9614,0.9721,0.98246,0.84025,0.63133,0.30681,0.98726,0.006469,0.006469,0.006469
109,6716.95,0.6551,0.34726,1.00066,0.96762,0.96363,0.98163,0.84062,0.63134,0.31255,0.9885,0.006436,0.006436,0.006436
110,6776.73,0.64731,0.34572,0.99959,0.96294,0.97457,0.98672,0.84483,0.62974,0.30455,0.98769,0.006403,0.006403,0.006403
111,6840.1,0.65084,0.34418,1.00052,0.96888,0.96718,0.98685,0.84244,0.63177,0.30848,0.98675,0.00637,0.00637,0.00637
112,6901.3,0.64606,0.33711,0.9951,0.95554,0.97957,0.98612,0.84536,0.62972,0.30601,0.98889,0.006337,0.006337,0.006337
113,6963.44,0.6486,0.3366,0.99195,0.96378,0.97305,0.98552,0.84877,0.62782,0.30183,0.98732,0.006304,0.006304,0.006304
114,7025.37,0.64582,0.3442,0.99441,0.9614,0.97609,0.98141,0.84542,0.62771,0.31194,0.9849,0.006271,0.006271,0.006271
115,7087.78,0.64892,0.34521,0.99926,0.96395,0.96923,0.98276,0.84381,0.62405,0.3103,0.98038,0.006238,0.006238,0.006238
116,7149.68,0.64374,0.34106,0.99276,0.96324,0.96806,0.98293,0.84529,0.62824,0.31082,0.98077,0.006205,0.006205,0.006205
117,7212.96,0.64672,0.33678,0.99545,0.96192,0.97167,0.98354,0.84367,0.6232,0.3045,0.98267,0.006172,0.006172,0.006172
118,7274.94,0.64378,0.33639,0.99047,0.95957,0.97092,0.98196,0.84339,0.62351,0.3064,0.98309,0.006139,0.006139,0.006139
119,7335.13,0.64243,0.32947,0.99466,0.96093,0.97409,0.98148,0.84402,0.62495,0.30777,0.98454,0.006106,0.006106,0.006106
120,7397.35,0.63736,0.34604,0.99106,0.96605,0.96971,0.98359,0.84896,0.6262,0.3058,0.98506,0.006073,0.006073,0.006073
121,7459.59,0.63532,0.33163,0.99158,0.96277,0.96638,0.98229,0.84483,0.62316,0.30582,0.98385,0.00604,0.00604,0.00604
122,7519.65,0.63625,0.34033,0.99251,0.9586,0.97186,0.98514,0.84518,0.6234,0.30777,0.98292,0.006007,0.006007,0.006007
123,7581.49,0.64081,0.33571,0.98944,0.96972,0.9581,0.98469,0.84801,0.6297,0.31452,0.98702,0.005974,0.005974,0.005974
124,7645.19,0.63827,0.32754,0.99017,0.96792,0.95817,0.98143,0.84252,0.62609,0.31219,0.98378,0.005941,0.005941,0.005941
125,7704.92,0.63869,0.33448,0.99144,0.96914,0.95752,0.98028,0.84576,0.61552,0.31165,0.97808,0.005908,0.005908,0.005908
126,7765.25,0.64212,0.33259,0.98763,0.96748,0.95789,0.98172,0.84128,0.62641,0.30802,0.9838,0.005875,0.005875,0.005875
127,7826.83,0.63554,0.33308,0.99388,0.96641,0.96268,0.98339,0.84657,0.62142,0.30649,0.98149,0.005842,0.005842,0.005842
128,7885.83,0.63528,0.33602,0.98621,0.96827,0.96604,0.9826,0.84496,0.62735,0.31149,0.98559,0.005809,0.005809,0.005809
129,7946.01,0.64106,0.33417,0.99186,0.96839,0.9618,0.98199,0.84445,0.62615,0.3123,0.98546,0.005776,0.005776,0.005776
130,8006.38,0.64481,0.33583,0.99166,0.96912,0.95755,0.9826,0.84596,0.62464,0.31101,0.98313,0.005743,0.005743,0.005743
131,8068.18,0.632,0.33226,0.98281,0.96417,0.9654,0.98414,0.84342,0.62555,0.30563,0.98717,0.00571,0.00571,0.00571
